"service_quote_id","service_id","name","index","quote","unit","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
5287,1007,"(SG-IAH2)365+","118_days_other",2.5000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5288,1007,"(SG-IAH2)91 ~ 120","118_days120",1.0000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5289,1007,"(SG-IAH2)121 ~ 180","118_days180",1.2000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5290,1007,"(SG-IAH2)181 ~ 270","118_days270",1.5000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5291,1007,"(SG-IAH2)0 ~ 30","118_days30",0.0000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5292,1007,"(SG-IAH2)271 ~ 365","118_days365",1.8000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5293,1007,"(SG-IAH2)31 ~ 60","118_days60",0.2800,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5339,1007,"(SG-ONT4)91 ~ 120","119_days120",1.0000,"per CBM per day","2024-11-07 00:00:00","2099-12-31 23:59:59",0,0,0,,"2023-08-15 07:00:00",336,"2024-03-27 08:57:49",336
5340,1007,"(SG-ONT4)121 ~ 180","119_days180",1.2000,"per CBM per day","2024-11-07 00:00:00","2099-12-31 23:59:59",0,0,0,,"2023-08-15 07:00:00",336,"2024-03-27 08:57:49",336
5341,1007,"(SG-ONT4)181 ~ 270","119_days270",1.5000,"per CBM per day","2024-11-07 00:00:00","2099-12-31 23:59:59",0,0,0,,"2023-08-15 07:00:00",336,"2025-01-06 03:43:12",336
5342,1007,"(SG-ONT4)365+","119_days_other",2.5000,"per CBM per day","2024-11-07 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
5343,1007,"(SG-ONT4)31 ~ 60","119_days60",0.4200,"per CBM per day","2024-11-07 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
5344,1007,"(SG-ONT4)61 ~ 90","119_days_geq61_leq90",0.7000,"per CBM per day","2024-11-07 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
5345,1007,"(SG-ONT4)271 ~ 365","119_days365",1.8000,"per CBM per day","2024-11-07 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-01-08 08:00:00",0,"2024-03-27 08:57:49",0
5566,1007,"(SG-SAV1)61 ~ 90","120_days_geq61_leq90",0.4800,"per CBM per day","2024-11-28 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5567,1007,"(SG-SAV1)365+","120_days_other",2.5000,"per CBM per day","2024-11-28 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5568,1007,"(SG-SAV1)91 ~ 120","120_days120",1.0000,"per CBM per day","2024-11-28 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5569,1007,"(SG-SAV1)121 ~ 180","120_days180",1.2000,"per CBM per day","2024-11-28 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5570,1007,"(SG-SAV1)181 ~ 270","120_days270",1.5000,"per CBM per day","2024-11-28 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5571,1007,"(SG-SAV1)0 ~ 30","120_days30",0.0000,"per CBM per day","2024-11-28 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5572,1007,"(SG-SAV1)271 ~ 365","120_days365",1.8000,"per CBM per day","2024-11-28 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
5573,1007,"(SG-SAV1)31 ~ 60","120_days60",0.2800,"per CBM per day","2024-11-28 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
6064,1007,"(SG-ABE1)31 ~ 60","109_days60",0.4800,"per CBM per day","2025-01-06 00:00:00","2099-12-31 23:59:59",0,0,0,,"2025-01-03 01:39:47",0,"2025-01-03 01:39:54",0
6130,1007,"(SG-ONT4)0 ~ 30","119_days30",0.0000,"per CBM per day","2025-01-14 17:00:00","2099-12-31 23:59:00",0,0,0,,"2025-01-14 17:05:52",0,"2025-01-14 17:06:02",0
7616,1007,"(SG-ONT5)0 ~ 30","130_days30",0.0000,"per CBM per day","2025-02-26 00:00:00","2099-12-31 23:59:59",0,0,0,,"2025-08-13 23:04:20",0,"2025-08-14 17:47:43",0
7617,1007,"(SG-ONT5)91 ~ 120","130_days120",1.0000,"per CBM per day","2025-02-26 00:00:00","2099-12-31 23:59:59",0,0,0,,"2025-08-13 23:04:20",0,"2025-08-14 17:47:42",0
7618,1007,"(SG-ONT5)121 ~ 180","130_days180",1.2000,"per CBM per day","2025-02-26 00:00:00","2099-12-31 23:59:59",0,0,0,,"2025-08-13 23:04:20",0,"2025-08-14 17:47:42",0
