"rate_company_id","company_id","service_id","fee_group","fee_code","fee","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
23930,1,1610,"Additional Handling Charge","AHC-3",2.62,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:41",0
23931,1,1610,"Additional Handling Charge","AHC-4",2.73,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:41",0
23932,1,1610,"Large Package Surcharge","LLC-1",26.21,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:45",0
23933,1,1610,"Large Package Surcharge","LLC-2",28.67,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:46",0
23934,1,1610,"Large Package Surcharge","LLC-3",31.12,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:46",0
23935,1,1610,"Large Package Surcharge","LLC-4",33.58,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:46",0
23936,1,1610,"Large Package Surcharge","LLR-1",31.12,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:47",0
23937,1,1610,"Large Package Surcharge","LLR-2",33.58,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:47",0
23938,1,1610,"Large Package Surcharge","LLR-3",37.67,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:48",0
23939,1,1610,"Large Package Surcharge","LLR-4",39.31,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:48",0
23940,1,1610,"Large Package Surcharge","LPS-1",26.21,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:48",0
23941,1,1610,"Large Package Surcharge","LPS-2",28.67,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:49",0
23942,1,1610,"Large Package Surcharge","LPS-3",31.12,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:49",0
23943,1,1610,"Large Package Surcharge","LPS-4",33.58,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:49",0
23944,1,1610,"Large Package Surcharge","LPR-1",31.12,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:50",0
23945,1,1610,"Large Package Surcharge","LPR-2",33.58,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:50",0
23946,1,1610,"Large Package Surcharge","LPR-3",37.67,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:50",0
23947,1,1610,"Large Package Surcharge","LPR-4",39.31,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:12:51",0
23948,1,1610,"Delivery Area Surcharge Commercial","RDC",1.73,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:17:06",0
23949,1,1610,"Delivery Area Surcharge Residential","RDR",2.56,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:17:06",0
23950,1,1610,"Delivery Area Surcharge Commercial - Extended","LDC",2.15,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:17:06",0
23951,1,1610,"Delivery Area Surcharge Residential - Extended","LDR",3.36,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:17:07",0
23952,1,1610,"Remote Area Surcharge - 48 States","CAC",6.23,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:17:07",0
23953,1,1610,"Remote Area Surcharge - 48 States","CAR",6.23,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:17:07",0
23954,1,1610,"Residential Surcharge","RES",2.43,"2024-08-01 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:17:08",0
35253,1,1610,"Peak Surcharge - Additional Handling","SAH",5.41,"2024-11-25 00:00:00","2024-12-29 23:59:59",0,0,0,,"2024-09-18 19:57:32",0,"2024-11-19 00:02:46",0
35254,1,1610,"Peak Surcharge - Additional Handling","SAH",4.20,"2024-12-30 00:00:00","2025-01-19 23:59:59",0,0,0,,"2024-09-18 19:57:32",0,"2024-11-19 00:02:47",0
35255,1,1610,"Peak Surcharge - Additional Handling","SAH",0.00,"2025-01-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-09-18 19:57:32",0,"2024-09-18 19:57:58",0
35261,1,1610,"Peak surcharge - Large Package","SLP",54.08,"2024-11-25 00:00:00","2024-12-29 23:59:59",0,0,0,,"2024-09-18 20:28:05",0,"2024-11-19 00:05:05",0
35262,1,1610,"Peak surcharge - Large Package","SLP",45.70,"2024-12-30 00:00:00","2025-01-19 23:59:59",0,0,0,,"2024-09-18 20:28:05",0,"2024-11-19 00:05:05",0
35263,1,1610,"Peak surcharge - Large Package","SLP",0.00,"2025-01-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-09-18 20:28:05",0,"2024-09-18 20:28:22",0
35269,1,1610,"Peak surcharge - Residential","PSR",1.30,"2024-10-28 00:00:00","2024-11-24 23:59:59",0,0,0,,"2024-09-18 20:33:45",0,"2024-11-19 00:16:12",0
35271,1,1610,"Peak surcharge - Residential","PSR",1.44,"2024-11-25 00:00:00","2024-12-29 23:59:59",0,0,0,,"2024-09-18 20:33:45",0,"2024-11-19 00:16:12",0
35273,1,1610,"Peak surcharge - Residential","PSR",1.30,"2024-12-30 00:00:00","2025-01-19 23:59:59",0,0,0,,"2024-09-18 20:33:45",0,"2024-11-19 00:16:13",0
35275,1,1610,"Peak surcharge - Residential","PSR",0.00,"2025-01-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-09-18 20:33:45",0,"2024-09-18 20:33:55",0
35281,1,1610,"Peak Surcharge - Over Max","SOV",450.00,"2024-09-30 00:00:00","2024-11-24 23:59:59",0,0,0,,"2024-09-18 20:36:54",0,"2024-09-18 20:37:06",0
35283,1,1610,"Peak Surcharge - Over Max","SOV",500.00,"2024-11-25 00:00:00","2024-12-29 23:59:59",0,0,0,,"2024-09-18 20:36:54",0,"2024-09-18 20:37:06",0
35285,1,1610,"Peak Surcharge - Over Max","SOV",450.00,"2024-12-30 00:00:00","2025-01-19 23:59:59",0,0,0,,"2024-09-18 20:36:54",0,"2024-09-18 20:37:07",0
35287,1,1610,"Peak Surcharge - Over Max","SOV",0.00,"2025-01-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-09-18 20:36:54",0,"2024-09-18 20:37:08",0
35289,1,1610,"Shipping Charge Correction","SCC",1.65,"2024-09-18 21:00:00","2099-12-31 23:59:59",0,0,0,,"2024-09-18 20:38:13",0,"2024-09-18 20:38:23",0
38670,1,1610,"Additional Handling Charge","AHW-1",5.66,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-10-16 18:32:09",0,"2024-11-18 23:05:41",0
38671,1,1610,"Additional Handling Charge","AHW-2",6.14,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-10-16 18:32:09",0,"2024-11-18 23:05:42",0
38672,1,1610,"Additional Handling Charge","AHW-3",6.56,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-10-16 18:32:09",0,"2024-11-18 23:05:42",0
38673,1,1610,"Additional Handling Charge","AHW-4",7.13,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-10-16 18:32:09",0,"2024-11-18 23:05:42",0
38678,1,1610,"Additional Handling Charge","AHL-1",3.61,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:43",0
38679,1,1610,"Additional Handling Charge","AHL-2",4.02,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:43",0
38680,1,1610,"Additional Handling Charge","AHL-3",4.42,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:43",0
