zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
57259,83200,83299,116,5,207,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:24,0
57271,84500,84599,116,5,205,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:24,0
57275,85100,85199,116,5,205,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:25,0
57368,97000,97099,116,5,207,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:25,0
57385,98800,98899,116,5,208,0,0,0,,2024/5/13 7:00,0,2024/12/3 1:25,0
58735,42700,42799,117,4,107,0,0,0,,2024/7/10 7:00,336,2024/12/3 0:48,336
58861,56200,56299,117,4,106,0,0,0,,2024/7/10 7:00,336,2024/12/3 0:49,336
58944,65400,65499,117,4,106,0,0,0,,2024/7/10 7:00,336,2024/12/3 0:49,336
59026,75000,75099,117,4,107,0,0,0,,2024/7/10 7:00,336,2024/12/3 0:52,336
59046,77000,77099,117,4,107,0,0,0,,2024/7/10 7:00,336,2024/12/3 0:52,336
59640,42700,42799,117,5,207,0,0,0,,2024/7/10 7:00,336,2024/12/3 0:48,336
59766,56200,56299,117,5,206,0,0,0,,2024/7/10 7:00,336,2024/12/3 0:49,336
59849,65400,65499,117,5,206,0,0,0,,2024/7/10 7:00,336,2024/12/3 0:49,336
59931,75000,75099,117,5,207,0,0,0,,2024/7/10 7:00,336,2024/12/3 0:52,336
59951,77000,77099,117,5,207,0,0,0,,2024/7/10 7:00,336,2024/12/3 0:52,336
102663,10900,10999,118,4,107,0,0,0,,2024/10/10 10:05,0,2024/12/3 0:56,0
102814,26100,26199,118,4,106,0,0,0,,2024/10/10 10:05,0,2024/12/3 0:56,0
102826,27400,27499,118,4,106,0,0,0,,2024/10/10 10:05,0,2024/12/3 0:57,0
102974,43000,43099,118,4,106,0,0,0,,2024/10/10 10:05,0,2024/12/3 0:58,0
103070,53000,53099,118,4,106,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:18,0
103072,53200,53299,118,4,106,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:19,0
103084,54600,54699,118,4,106,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:22,0
103166,63600,63699,118,4,105,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:23,0
103167,63700,63799,118,4,105,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:23,0
103308,79500,79599,118,4,104,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:23,0
103342,83200,83299,118,4,107,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:24,0
103354,84500,84599,118,4,105,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:24,0
103358,85100,85199,118,4,105,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:25,0
103451,97000,97099,118,4,107,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:25,0
103468,98800,98899,118,4,108,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:25,0
103568,10900,10999,118,5,207,0,0,0,,2024/10/10 10:05,0,2024/12/3 0:56,0
103719,26100,26199,118,5,206,0,0,0,,2024/10/10 10:05,0,2024/12/3 0:56,0
103731,27400,27499,118,5,206,0,0,0,,2024/10/10 10:05,0,2024/12/3 0:57,0
103879,43000,43099,118,5,206,0,0,0,,2024/10/10 10:05,0,2024/12/3 0:58,0
103975,53000,53099,118,5,206,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:18,0
103977,53200,53299,118,5,206,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:19,0
103989,54600,54699,118,5,206,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:22,0
104071,63600,63699,118,5,205,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:23,0
104072,63700,63799,118,5,205,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:23,0
104213,79500,79599,118,5,204,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:23,0
104247,83200,83299,118,5,207,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:24,0
104259,84500,84599,118,5,205,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:24,0
104263,85100,85199,118,5,205,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:25,0
104356,97000,97099,118,5,207,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:25,0
104373,98800,98899,118,5,208,0,0,0,,2024/10/10 10:05,0,2024/12/3 1:25,0
112094,42700,42799,119,4,107,0,0,0,,2024/11/7 8:36,0,2024/12/3 0:48,0
112220,56200,56299,119,4,106,0,0,0,,2024/11/7 8:36,0,2024/12/3 0:49,0
112303,65400,65499,119,4,106,0,0,0,,2024/11/7 8:36,0,2024/12/3 0:49,0
112385,75000,75099,119,4,107,0,0,0,,2024/11/7 8:36,0,2024/12/3 0:52,0
112405,77000,77099,119,4,107,0,0,0,,2024/11/7 8:36,0,2024/12/3 0:52,0
112999,42700,42799,119,5,207,0,0,0,,2024/11/7 8:36,0,2024/12/3 0:48,0
113125,56200,56299,119,5,206,0,0,0,,2024/11/7 8:36,0,2024/12/3 0:49,0
113208,65400,65499,119,5,206,0,0,0,,2024/11/7 8:36,0,2024/12/3 0:49,0
113290,75000,75099,119,5,207,0,0,0,,2024/11/7 8:36,0,2024/12/3 0:52,0
113310,77000,77099,119,5,207,0,0,0,,2024/11/7 8:36,0,2024/12/3 0:52,0
116328,00500,00599,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116329,00600,00699,120,4,125,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116330,00700,00799,120,4,125,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116331,00900,00999,120,4,125,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116332,01000,01099,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116333,01100,01199,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116334,01200,01299,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116335,01300,01399,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116336,01400,01499,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116337,01500,01599,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116338,01600,01699,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
