zip_id,type_id,zip_code,fee_code_commercial,fee_code_residential,start_date,end_date,created_at,created_by,updated_at,updated_by
,1,01432,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01436,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01438,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01450,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01451,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01462,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01463,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01464,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01468,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01469,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01470,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01471,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01473,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01474,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01503,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
,1,01504,RDC,RDR,2025/12/3 18:00:00,2099/12/31 23:59:59,2025/12/3 18:00:00,0,2025/12/3 18:00:00,0
