zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
,17700,17799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,17800,17899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,17900,17999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,18000,18099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,18100,18199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,18200,18299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,18300,18399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,18400,18499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,18500,18599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,18600,18699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,18700,18799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,18800,18899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,18900,18999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,19000,19099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,19100,19199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,19200,19299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,19300,19399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,19400,19499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,19500,19599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,19600,19699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,19700,19799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,19800,19899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,19900,19999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,20000,20099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,20100,20199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,20200,20299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,20300,20399,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,20400,20499,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,20500,20599,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,20600,20699,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,20700,20799,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,20800,20899,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,20900,20999,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,21000,21099,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,21100,21199,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
,21200,21299,101,1,8,0,0,0,,2025/1/6 0:00,0,2025/1/6 0:00,0
